Data Publicação,Interesse,Título,Link
28/04/2026,Geral,Cooperação internacional resulta na apreensão de uma tonelada de cocaína em Portugal,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/cooperacao-internacional-resulta-na-apreensao-de-uma-tonelada-de-cocaina-em-portugal
28/04/2026,Geral,Receita Federal envia primeiras notificações a contribuintes que podem ser enquadrados como devedores contumazes,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-envia-primeiras-notificacoes-a-contribuintes-que-podem-ser-enquadrados-como-devedores-contumazes
28/04/2026,Empresarial,NFS-e de padrão nacional será obrigatória para optantes do Simples Nacional,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/nfs-e-de-padrao-nacional-sera-obrigatoria-para-optantes-do-simples-nacional
28/04/2026,Geral,Fronteiras Blindadas: Receita Federal Intensifica Combate ao Contrabando e Descaminho em Malha Rodoviária,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/fronteiras-blindadas-receita-federal-intensifica-combate-ao-contrabando-e-descaminho-em-malha-rodoviaria
28/04/2026,Geral,Brasil é eleito à Vice-Presidência da OMA para a região das Américas e do Caribe,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/brasil-e-eleito-a-vice-presidencia-da-oma-para-a-regiao-das-americas-e-do-caribe
28/04/2026,Geral,"Operação Mare Liberum: Receita Federal, MPF e PF desarticulam esquema bilionário de corrupção no Porto do Rio de Janeiro",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/operacao-mare-liberum-receita-federal-mpf-e-pf-desarticulam-esquema-bilionario-de-corrupcao-no-porto-do-rio-de-janeiro
27/04/2026,Geral,Você já conferiu as novidades do Perguntas e Respostas do Imposto de Renda 2026?,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/perguntas-e-respostas-irpf-2026-evite-erros-na-sua-declaracao
27/04/2026,Geral,Receita Federal homenageia o Dia do Despachante Aduaneiro com live especial,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-homenageia-o-dia-do-despachante-aduaneiro-com-live-especial
27/04/2026,Pessoa Física,"Receita Federal realiza sétima live do IRPF com o tema ""Malha fina do IRPF""",https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-realiza-setima-live-do-irpf-com-o-tema-malha-fina-do-irpf
24/04/2026,Geral,Receita Federal retém 22 quilos de cocaína em Paranaguá,https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2026/abril/receita-federal-retem-22-quilos-de-cocaina-em-paranagua
